date,duration,T,Tmax,Tmin,Rg,Ri_PAR_f,Rh_min,Rh_max,Precipitations,Wind,Rh
2011-08-22,1 day,27.8,35.2,22.0,8.064,8.064,37.0,94.5,0.0,0.9,0.2875
2011-08-23,1 day,28.0,35.5,22.7,8.111999999999998,8.111999999999998,30.0,94.5,0.0,0.8,0.3225
2011-08-24,1 day,27.7,35.2,22.1,9.12,9.12,29.5,94.5,0.0,1.1,0.325
2011-08-25,1 day,27.7,35.2,22.2,8.64,8.64,38.0,94.5,0.0,1.2,0.2825
2011-08-26,1 day,27.1,34.3,22.1,7.584,7.584,31.5,93.5,0.0,0.8,0.31
2011-08-27,1 day,27.0,33.8,22.0,7.68,7.68,38.0,94.0,0.0,0.9,0.28
2011-08-28,1 day,27.4,35.1,21.4,8.735999999999999,8.735999999999999,36.0,94.0,0.0,1.1,0.29
2011-08-29,1 day,28.1,36.0,22.4,7.824,7.824,40.0,94.0,0.0,0.8,0.27
2011-08-30,1 day,27.8,34.1,23.4,5.712,5.712,40.5,92.5,0.0,0.8,0.26
2011-08-31,1 day,28.3,35.9,22.6,9.168000000000001,9.168000000000001,30.5,94.0,0.0,0.9,0.3175
2011-09-01,1 day,27.7,34.9,22.6,9.744,9.744,34.0,92.0,0.0,0.8,0.29
2011-09-02,1 day,28.1,36.8,21.8,9.12,9.12,40.0,94.0,0.0,1.1,0.27
2011-09-03,1 day,28.1,36.2,22.9,9.024,9.024,36.0,93.0,0.0,1.0,0.285
2011-09-04,1 day,27.9,35.2,22.7,8.688,8.688,35.0,93.5,0.0,1.1,0.2925
2011-09-05,1 day,27.2,35.6,21.4,8.064,8.064,37.0,94.0,0.0,1.0,0.285
2011-09-06,1 day,27.4,35.0,21.2,7.68,7.68,33.5,94.0,0.0,1.3,0.3025
2011-09-07,1 day,28.0,35.8,22.6,7.247999999999999,7.247999999999999,30.5,93.0,0.0,1.1,0.3125
2011-09-08,1 day,27.8,35.8,21.0,8.688,8.688,36.0,93.5,0.0,1.0,0.2875
2011-09-09,1 day,28.0,35.5,22.5,9.552,9.552,37.0,93.0,0.0,1.3,0.28
2011-09-10,1 day,27.7,35.3,21.2,8.351999999999999,8.351999999999999,38.0,93.0,0.0,1.3,0.275
